"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB10mA_ss4_2a","f__Humimicrobiaceae","A","A_ss4_2",1669
"FLB10mA_ss4_2b","f__Humimicrobiaceae","A","A_ss4_2",1207
"FLB10mA_ss4_3a","f__Humimicrobiaceae","A","A_ss4_3",1257
"FLB10mA_ss4_3b","f__Humimicrobiaceae","A","A_ss4_3",603
"FLB10mB_ss4_1","f__Humimicrobiaceae","B","B_ss4_1",1635
"FLB10mB_ss4_2a","f__Humimicrobiaceae","B","B_ss4_2",4745
"FLB10mB_ss4_2b","f__Humimicrobiaceae","B","B_ss4_2",3479
"FLB10mB_ss4_3a","f__Humimicrobiaceae","B","B_ss4_3",4730
"FLB10mB_ss4_3b","f__Humimicrobiaceae","B","B_ss4_3",3470
"FLB10mSdA_ss4_1","f__Humimicrobiaceae","dA","dA_ss4_1",2169
"FLB10mSdA_ss4_2a","f__Humimicrobiaceae","dA","dA_ss4_2",940
"FLB10mSdA_ss4_2b","f__Humimicrobiaceae","dA","dA_ss4_2",1379
"FLB12mA_ss4_1","f__Humimicrobiaceae","A","A_ss4_1",1529
"FLB13mNB_ss4_1","f__Humimicrobiaceae","B","B_ss4_1",1314
"FLB16mNdA_ss4_1","f__Humimicrobiaceae","dA","dA_ss4_1",2462
"FLB16mNdA_ss4_2a","f__Humimicrobiaceae","dA","dA_ss4_2",3127
"FLB16mNdA_ss4_2b","f__Humimicrobiaceae","dA","dA_ss4_2",3625
"FLB16mNdB_ss4_1","f__Humimicrobiaceae","dB","dB_ss4_1",280
"FLB16mNdB_ss4_2","f__Humimicrobiaceae","dB","dB_ss4_2",13674
"FLB16mNuA_ss4_1","f__Humimicrobiaceae","uA","uA_ss4_1",16682
"FLB16mNuA_ss4_2","f__Humimicrobiaceae","uA","uA_ss4_2",2708
"FLB16mNuA_ss4_3","f__Humimicrobiaceae","uA","uA_ss4_3",976
"FLB16mNuA_ss4_4","f__Humimicrobiaceae","uA","uA_ss4_4",1066
"FLB34mA_ss4_1","f__Humimicrobiaceae","A","A_ss4_1",6028
"FLB38mA_ss4_1","f__Humimicrobiaceae","A","A_ss4_1",5182
"FLB38mA_ss4_2a","f__Humimicrobiaceae","A","A_ss4_2",20252
"FLB38mA_ss4_2b","f__Humimicrobiaceae","A","A_ss4_2",14241
"FLB38mB_ss4_1","f__Humimicrobiaceae","B","B_ss4_1",3118
"FLB45mA_ss4_1","f__Humimicrobiaceae","A","A_ss4_1",4078
"FLB45mA_ss4_2","f__Humimicrobiaceae","A","A_ss4_2",23340
"FLB45mB_ss4_1","f__Humimicrobiaceae","B","B_ss4_1",6324
"FLB45mB_ss4_2","f__Humimicrobiaceae","B","B_ss4_2",10423
"FLB57muA_ss4_1","f__Humimicrobiaceae","uA","uA_ss4_1",44162
"FLB00mA_ss4_1","f__SM23-61","A","A_ss4_1",7893
"FLB00mA_ss4_2a","f__SM23-61","A","A_ss4_2",15489
"FLB00mA_ss4_2b","f__SM23-61","A","A_ss4_2",18325
"FLB00mB_ss4_1","f__SM23-61","B","B_ss4_1",2847
"FLB01mA_ss4_1","f__SM23-61","A","A_ss4_1",16
"FLB01mB_ss4_1","f__SM23-61","B","B_ss4_1",1706
"FLB03mA_ss4_1","f__SM23-61","A","A_ss4_1",5950
"FLB03mA_ss4_2","f__SM23-61","A","A_ss4_2",199
"FLB05mA_ss4_1","f__SM23-61","A","A_ss4_1",22
"FLB05mA_ss4_2","f__SM23-61","A","A_ss4_2",29
"FLB05mB_ss4_1","f__SM23-61","B","B_ss4_1",25
"FLB05mB_ss4_2a","f__SM23-61","B","B_ss4_2",25
"FLB05mB_ss4_2b","f__SM23-61","B","B_ss4_2",27
"FLB05mB_ss4_3a","f__SM23-61","B","B_ss4_3",9
"FLB05mB_ss4_3b","f__SM23-61","B","B_ss4_3",7
"FLB06mA_ss4_1","f__SM23-61","A","A_ss4_1",2006
"FLB06mA_ss4_2","f__SM23-61","A","A_ss4_2",1996
"FLB06mB_ss4_1","f__SM23-61","B","B_ss4_1",1879
"FLB06mB_ss4_2a","f__SM23-61","B","B_ss4_2",787
"FLB06mB_ss4_2b","f__SM23-61","B","B_ss4_2",1046
"FLB08mA_ss4_1","f__SM23-61","A","A_ss4_1",62797
"FLB08mA_ss4_2b","f__SM23-61","A","A_ss4_2",11350
"FLB08mB_ss4_1","f__SM23-61","B","B_ss4_1",3016
"FLB08mB_ss4_2a","f__SM23-61","B","B_ss4_2a",9244
