"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB06mA_ss4_2","Geum","A","A_ss4_2",148
"FLB06mB_ss4_1","Geum","B","B_ss4_1",1035
"FLB06mB_ss4_2a","Geum","B","B_ss4_2",608
"FLB06mB_ss4_2b","Geum","B","B_ss4_2",768
"FLB08mA_ss4_1","Geum","A","A_ss4_1",1361
"FLB08mA_ss4_2b","Geum","A","A_ss4_2",203
"FLB08mB_ss4_1","Geum","B","B_ss4_1",35
"FLB08mB_ss4_2a","Geum","B","B_ss4_2a",168
"FLB10mA_ss4_1","Geum","A","A_ss4_1",26
"FLB10mA_ss4_2a","Geum","A","A_ss4_2",9
"FLB10mA_ss4_2b","Geum","A","A_ss4_2",9
"FLB10mA_ss4_3a","Geum","A","A_ss4_3",9
"FLB10mA_ss4_3b","Geum","A","A_ss4_3",7
"FLB10mB_ss4_1","Geum","B","B_ss4_1",73
"FLB10mB_ss4_2a","Geum","B","B_ss4_2",98
"FLB10mB_ss4_2b","Geum","B","B_ss4_2",82
"FLB10mB_ss4_3a","Geum","B","B_ss4_3",293
"FLB10mB_ss4_3b","Geum","B","B_ss4_3",222
"FLB10mSdA_ss4_1","Geum","dA","dA_ss4_1",98
"FLB10mSdA_ss4_2a","Geum","dA","dA_ss4_2",37
"FLB10mSdA_ss4_2b","Geum","dA","dA_ss4_2",65
"FLB12mA_ss4_1","Geum","A","A_ss4_1",12
"FLB13mNB_ss4_1","Geum","B","B_ss4_1",16
"FLB16mNdA_ss4_1","Geum","dA","dA_ss4_1",17
"FLB16mNdA_ss4_2a","Geum","dA","dA_ss4_2",17
"FLB16mNdA_ss4_2b","Geum","dA","dA_ss4_2",13
"FLB16mNdB_ss4_1","Geum","dB","dB_ss4_1",13
"FLB16mNdB_ss4_2","Geum","dB","dB_ss4_2",104
"FLB16mNuA_ss4_1","Geum","uA","uA_ss4_1",99
"FLB16mNuA_ss4_2","Geum","uA","uA_ss4_2",47
"FLB16mNuA_ss4_3","Geum","uA","uA_ss4_3",8
"FLB16mNuA_ss4_4","Geum","uA","uA_ss4_4",12
"FLB34mA_ss4_1","Geum","A","A_ss4_1",23
"FLB38mA_ss4_1","Geum","A","A_ss4_1",20
"FLB38mA_ss4_2a","Geum","A","A_ss4_2",91
"FLB38mA_ss4_2b","Geum","A","A_ss4_2",44
"FLB38mB_ss4_1","Geum","B","B_ss4_1",4
"FLB45mA_ss4_1","Geum","A","A_ss4_1",8
"FLB45mA_ss4_2","Geum","A","A_ss4_2",3
"FLB45mB_ss4_1","Geum","B","B_ss4_1",5
"FLB45mB_ss4_2","Geum","B","B_ss4_2",1
"FLB57muA_ss4_1","Geum","uA","uA_ss4_1",0
"FLB00mA_ss4_1","Larix","A","A_ss4_1",381
"FLB00mA_ss4_2a","Larix","A","A_ss4_2",750
"FLB00mA_ss4_2b","Larix","A","A_ss4_2",855
"FLB00mB_ss4_1","Larix","B","B_ss4_1",87
"FLB01mA_ss4_1","Larix","A","A_ss4_1",348
"FLB01mB_ss4_1","Larix","B","B_ss4_1",142
"FLB03mA_ss4_1","Larix","A","A_ss4_1",414
"FLB03mA_ss4_2","Larix","A","A_ss4_2",115
"FLB05mA_ss4_1","Larix","A","A_ss4_1",41
"FLB05mA_ss4_2","Larix","A","A_ss4_2",69
"FLB05mB_ss4_1","Larix","B","B_ss4_1",30
"FLB05mB_ss4_2a","Larix","B","B_ss4_2",34
"FLB05mB_ss4_2b","Larix","B","B_ss4_2",29
"FLB05mB_ss4_3a","Larix","B","B_ss4_3",42
"FLB05mB_ss4_3b","Larix","B","B_ss4_3",34
"FLB06mA_ss4_1","Larix","A","A_ss4_1",32
"FLB06mA_ss4_2","Larix","A","A_ss4_2",18
"FLB06mB_ss4_1","Larix","B","B_ss4_1",253
"FLB06mB_ss4_2a","Larix","B","B_ss4_2",116
"FLB06mB_ss4_2b","Larix","B","B_ss4_2",139
"FLB08mA_ss4_1","Larix","A","A_ss4_1",377
"FLB08mA_ss4_2b","Larix","A","A_ss4_2",19
"FLB08mB_ss4_1","Larix","B","B_ss4_1",6
"FLB08mB_ss4_2a","Larix","B","B_ss4_2a",18
"FLB10mA_ss4_1","Larix","A","A_ss4_1",14
"FLB10mA_ss4_2a","Larix","A","A_ss4_2",11
"FLB10mA_ss4_2b","Larix","A","A_ss4_2",9
"FLB10mA_ss4_3a","Larix","A","A_ss4_3",7
"FLB10mA_ss4_3b","Larix","A","A_ss4_3",3
"FLB10mB_ss4_1","Larix","B","B_ss4_1",16
"FLB10mB_ss4_2a","Larix","B","B_ss4_2",37
"FLB10mB_ss4_2b","Larix","B","B_ss4_2",18
"FLB10mB_ss4_3a","Larix","B","B_ss4_3",38
"FLB10mB_ss4_3b","Larix","B","B_ss4_3",31
"FLB10mSdA_ss4_1","Larix","dA","dA_ss4_1",139
"FLB10mSdA_ss4_2a","Larix","dA","dA_ss4_2",48
"FLB10mSdA_ss4_2b","Larix","dA","dA_ss4_2",71
"FLB12mA_ss4_1","Larix","A","A_ss4_1",7
"FLB13mNB_ss4_1","Larix","B","B_ss4_1",9
"FLB16mNdA_ss4_1","Larix","dA","dA_ss4_1",10
"FLB16mNdA_ss4_2a","Larix","dA","dA_ss4_2",18
"FLB16mNdA_ss4_2b","Larix","dA","dA_ss4_2",14
"FLB16mNdB_ss4_1","Larix","dB","dB_ss4_1",4
"FLB16mNdB_ss4_2","Larix","dB","dB_ss4_2",45
"FLB16mNuA_ss4_1","Larix","uA","uA_ss4_1",60
"FLB16mNuA_ss4_2","Larix","uA","uA_ss4_2",14
"FLB16mNuA_ss4_3","Larix","uA","uA_ss4_3",3
"FLB16mNuA_ss4_4","Larix","uA","uA_ss4_4",3
"FLB34mA_ss4_1","Larix","A","A_ss4_1",16
"FLB38mA_ss4_1","Larix","A","A_ss4_1",13
"FLB38mA_ss4_2a","Larix","A","A_ss4_2",27
"FLB38mA_ss4_2b","Larix","A","A_ss4_2",19
"FLB38mB_ss4_1","Larix","B","B_ss4_1",35
"FLB45mA_ss4_1","Larix","A","A_ss4_1",16
"FLB45mA_ss4_2","Larix","A","A_ss4_2",30
"FLB45mB_ss4_1","Larix","B","B_ss4_1",10
"FLB45mB_ss4_2","Larix","B","B_ss4_2",14
"FLB57muA_ss4_1","Larix","uA","uA_ss4_1",0
"FLB00mA_ss4_1","Pedicularis","A","A_ss4_1",240
"FLB00mA_ss4_2a","Pedicularis","A","A_ss4_2",696
"FLB00mA_ss4_2b","Pedicularis","A","A_ss4_2",746
"FLB00mB_ss4_1","Pedicularis","B","B_ss4_1",21
"FLB01mA_ss4_1","Pedicularis","A","A_ss4_1",28
"FLB01mB_ss4_1","Pedicularis","B","B_ss4_1",14
"FLB03mA_ss4_1","Pedicularis","A","A_ss4_1",238
"FLB03mA_ss4_2","Pedicularis","A","A_ss4_2",82
"FLB05mA_ss4_1","Pedicularis","A","A_ss4_1",89
"FLB05mA_ss4_2","Pedicularis","A","A_ss4_2",100
"FLB05mB_ss4_1","Pedicularis","B","B_ss4_1",30
"FLB05mB_ss4_2a","Pedicularis","B","B_ss4_2",40
"FLB05mB_ss4_2b","Pedicularis","B","B_ss4_2",42
"FLB05mB_ss4_3a","Pedicularis","B","B_ss4_3",54
"FLB05mB_ss4_3b","Pedicularis","B","B_ss4_3",55
"FLB06mA_ss4_1","Pedicularis","A","A_ss4_1",151
"FLB06mA_ss4_2","Pedicularis","A","A_ss4_2",45
"FLB06mB_ss4_1","Pedicularis","B","B_ss4_1",511
"FLB06mB_ss4_2a","Pedicularis","B","B_ss4_2",267
"FLB06mB_ss4_2b","Pedicularis","B","B_ss4_2",345
"FLB08mA_ss4_1","Pedicularis","A","A_ss4_1",1024
"FLB08mA_ss4_2b","Pedicularis","A","A_ss4_2",249
"FLB08mB_ss4_1","Pedicularis","B","B_ss4_1",93
"FLB08mB_ss4_2a","Pedicularis","B","B_ss4_2a",207
"FLB10mA_ss4_1","Pedicularis","A","A_ss4_1",23
"FLB10mA_ss4_2a","Pedicularis","A","A_ss4_2",11
"FLB10mA_ss4_2b","Pedicularis","A","A_ss4_2",7
"FLB10mA_ss4_3a","Pedicularis","A","A_ss4_3",5
"FLB10mA_ss4_3b","Pedicularis","A","A_ss4_3",0
"FLB10mB_ss4_1","Pedicularis","B","B_ss4_1",19
"FLB10mB_ss4_2a","Pedicularis","B","B_ss4_2",77
"FLB10mB_ss4_2b","Pedicularis","B","B_ss4_2",61
"FLB10mB_ss4_3a","Pedicularis","B","B_ss4_3",83
"FLB10mB_ss4_3b","Pedicularis","B","B_ss4_3",55
"FLB10mSdA_ss4_1","Pedicularis","dA","dA_ss4_1",88
"FLB10mSdA_ss4_2a","Pedicularis","dA","dA_ss4_2",48
"FLB10mSdA_ss4_2b","Pedicularis","dA","dA_ss4_2",65
"FLB12mA_ss4_1","Pedicularis","A","A_ss4_1",5
"FLB13mNB_ss4_1","Pedicularis","B","B_ss4_1",24
"FLB16mNdA_ss4_1","Pedicularis","dA","dA_ss4_1",18
"FLB16mNdA_ss4_2a","Pedicularis","dA","dA_ss4_2",25
"FLB16mNdA_ss4_2b","Pedicularis","dA","dA_ss4_2",26
"FLB16mNdB_ss4_1","Pedicularis","dB","dB_ss4_1",8
"FLB16mNdB_ss4_2","Pedicularis","dB","dB_ss4_2",145
"FLB16mNuA_ss4_1","Pedicularis","uA","uA_ss4_1",72
"FLB16mNuA_ss4_2","Pedicularis","uA","uA_ss4_2",24
"FLB16mNuA_ss4_3","Pedicularis","uA","uA_ss4_3",6
"FLB16mNuA_ss4_4","Pedicularis","uA","uA_ss4_4",11
"FLB34mA_ss4_1","Pedicularis","A","A_ss4_1",10
"FLB38mA_ss4_1","Pedicularis","A","A_ss4_1",6
"FLB38mA_ss4_2a","Pedicularis","A","A_ss4_2",18
"FLB38mA_ss4_2b","Pedicularis","A","A_ss4_2",19
