"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB16mNdA_ds3_1","f__SM23-61","dA","dA_ds3_1",7348
"FLB16mNdB_ds3_1","f__SM23-61","dB","dB_ds3_1",14935
"FLB16mNuA_ds2_1","f__SM23-61","uA","uA_ds2_1",5410
"FLB16mNuA_ds3_1","f__SM23-61","uA","uA_ds3_1",7831
"FLB16mNuB_ds3_1","f__SM23-61","uB","uB_ds3_1",4185
"FLB18mB_ds3_1","f__SM23-61","B","B_ds3_1",23209
"FLB38mA_ds2_1","f__SM23-61","A","A_ds2_1",3549
"FLB38mA_ds3_1","f__SM23-61","A","A_ds3_1",6571
"FLB38mB_ds3_1","f__SM23-61","B","B_ds3_1",1868
"FLB45mA_ds2_1","f__SM23-61","A","A_ds2_1",566
"FLB45mA_ds3_1","f__SM23-61","A","A_ds3_1",29211
"FLB45mB_ds3_1","f__SM23-61","B","B_ds3_1",12433
"FLB54mA_ds3_1","f__SM23-61","A","A_ds3_1",437
"FLB57mdA_ds2_1","f__SM23-61","dA","dA_ds2_1",518
"FLB57mdA_ds2_2","f__SM23-61","dA","dA_ds2_2",445
"FLB57mdA_ds3_1","f__SM23-61","dA","dA_ds3_1",1379
"FLB57mdB_ds3_1","f__SM23-61","dB","dB_ds3_1",116
"FLB57muA_ds3_1","f__SM23-61","uA","uA_ds3_1",3125
"FLB57muB_ds3_1","f__SM23-61","uB","uB_ds3_1",124
"FLB00mA_ds3_1","f__CGMCC-115725","A","A_ds3_1",4617
"FLB00mB_ds3_1","f__CGMCC-115725","B","B_ds3_1",10159
"FLB01mA_ds2_1","f__CGMCC-115725","A","A_ds2_1",881
"FLB01mA_ds3_1","f__CGMCC-115725","A","A_ds3_1",60763
"FLB01mB_ds3_1","f__CGMCC-115725","B","B_ds3_1",95135
"FLB03mA_ds3_1","f__CGMCC-115725","A","A_ds3_1",21912
"FLB05mA_ds3_1","f__CGMCC-115725","A","A_ds3_1",14599
"FLB05mB_ds3_1","f__CGMCC-115725","B","B_ds3_1",7623
"FLB06mA_ds3_1","f__CGMCC-115725","A","A_ds3_1",14310
"FLB06mB_ds3_1","f__CGMCC-115725","B","B_ds3_1",14340
"FLB08mA_ds1_1","f__CGMCC-115725","A","A_ds1_1",4711
"FLB08mA_ds2_1","f__CGMCC-115725","A","A_ds2_1",8708
"FLB08mA_ds3_1","f__CGMCC-115725","A","A_ds3_1",25723
"FLB08mB_ds3_1","f__CGMCC-115725","B","B_ds3_1",25347
"FLB10mA_ds3_1","f__CGMCC-115725","A","A_ds3_1",1583
"FLB10mB_ds3_1","f__CGMCC-115725","B","B_ds3_1",4177
"FLB10mSdA_ds3_1","f__CGMCC-115725","dA","dA_ds3_1",11581
"FLB10mSdB_ds3_1","f__CGMCC-115725","dB","dB_ds3_1",6181
"FLB12mA_ds3_1","f__CGMCC-115725","A","A_ds3_1",2516
"FLB12mB_ds3_1","f__CGMCC-115725","B","B_ds3_1",1644
"FLB13mNA_ds3_1","f__CGMCC-115725","A","A_ds3_1",2122
"FLB13mNB_ds3_1","f__CGMCC-115725","B","B_ds3_1",6690
"FLB13mSA_ds2_1","f__CGMCC-115725","A","A_ds2_1",104
"FLB16mNdA_ds2_1","f__CGMCC-115725","dA","dA_ds2_1",2695
"FLB16mNdA_ds3_1","f__CGMCC-115725","dA","dA_ds3_1",8439
"FLB16mNdB_ds3_1","f__CGMCC-115725","dB","dB_ds3_1",15885
"FLB16mNuA_ds2_1","f__CGMCC-115725","uA","uA_ds2_1",3831
"FLB16mNuA_ds3_1","f__CGMCC-115725","uA","uA_ds3_1",9853
"FLB16mNuB_ds3_1","f__CGMCC-115725","uB","uB_ds3_1",3340
"FLB18mB_ds3_1","f__CGMCC-115725","B","B_ds3_1",9987
"FLB38mA_ds2_1","f__CGMCC-115725","A","A_ds2_1",2089
"FLB38mA_ds3_1","f__CGMCC-115725","A","A_ds3_1",7418
"FLB38mB_ds3_1","f__CGMCC-115725","B","B_ds3_1",2074
"FLB45mA_ds2_1","f__CGMCC-115725","A","A_ds2_1",306
"FLB45mA_ds3_1","f__CGMCC-115725","A","A_ds3_1",17206
"FLB45mB_ds3_1","f__CGMCC-115725","B","B_ds3_1",12797
"FLB54mA_ds3_1","f__CGMCC-115725","A","A_ds3_1",173
"FLB57mdA_ds2_1","f__CGMCC-115725","dA","dA_ds2_1",85
"FLB57mdA_ds2_2","f__CGMCC-115725","dA","dA_ds2_2",76
"FLB57mdA_ds3_1","f__CGMCC-115725","dA","dA_ds3_1",348
"FLB57mdB_ds3_1","f__CGMCC-115725","dB","dB_ds3_1",120
"FLB57muA_ds3_1","f__CGMCC-115725","uA","uA_ds3_1",466
"FLB57muB_ds3_1","f__CGMCC-115725","uB","uB_ds3_1",28
"FLB00mA_ds3_1","f__Methanospirillaceae","A","A_ds3_1",318
"FLB00mB_ds3_1","f__Methanospirillaceae","B","B_ds3_1",571
"FLB01mA_ds2_1","f__Methanospirillaceae","A","A_ds2_1",26
"FLB01mA_ds3_1","f__Methanospirillaceae","A","A_ds3_1",536
"FLB01mB_ds3_1","f__Methanospirillaceae","B","B_ds3_1",570
"FLB03mA_ds3_1","f__Methanospirillaceae","A","A_ds3_1",3928
"FLB05mA_ds3_1","f__Methanospirillaceae","A","A_ds3_1",692
"FLB05mB_ds3_1","f__Methanospirillaceae","B","B_ds3_1",87
"FLB06mA_ds3_1","f__Methanospirillaceae","A","A_ds3_1",358
"FLB06mB_ds3_1","f__Methanospirillaceae","B","B_ds3_1",906
